"","batsman"
"1","V Kohli"
"2","SK Raina"
"3","RG Sharma"
"4","G Gambhir"
"5","CH Gayle"
"6","RV Uthappa"
"7","DA Warner"
"8","AB de Villiers"
"9","MS Dhoni"
"10","S Dhawan"
